"filename", "language", "Dart", "comment", "blank", "total"
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/screens/detail/detail_screen.dart", "Dart", -173, 0, -16, -189
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/screens/detail/widgets/detail_row_widget.dart", "Dart", 26, 6, 6, 38
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/screens/detail/widgets/price_header_widget.dart", "Dart", 46, 11, 7, 64
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/screens/detail/widgets/range_bar_widget.dart", "Dart", 48, 5, 5, 58
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/screens/detail/widgets/section_card_widget.dart", "Dart", 31, 6, 5, 42
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/screens/detail/widgets/trend_chip_widget.dart", "Dart", 41, 9, 7, 57
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/screens/home/home_screen.dart", "Dart", 33, 0, 2, 35
"Total", "-", 52, 37, 16, 105
