"filename", "language", "Dart", "comment", "blank", "total"
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/screens/home/home_screen.dart", "Dart", -22, 0, -2, -24
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/screens/home/widgets/cache_bar_widget.dart", "Dart", 24, 3, 3, 30
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/screens/preferences/preferences_screen.dart", "Dart", -34, 0, -6, -40
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/screens/preferences/widgets/locale_tile_widget.dart", "Dart", 22, 7, 7, 36
"/Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_slim/lib/presentation/screens/preferences/widgets/section_title_widget.dart", "Dart", 17, 3, 4, 24
"Total", "-", 7, 13, 6, 26
